Champion,2,champion.com,Hanesbrands Inc.,4,4,4,6.4,7.7,2.3,3.3,3.9,https://directory.goodonyou.eco/brand/champion,United Kingdom
Chanel,4,chanel.com ,,4,4,4,4.5,1.5,0.9,0.7,0,https://directory.goodonyou.eco/brand/chanel,United Kingdom
Chico's,2,chicos.com,,2,2,4,3.9,1.5,0.9,0.2,0,https://directory.goodonyou.eco/brand/chicos,United States
Chloé,4,chloe.com,Richemont,4,4,4,5.5,6.2,1.7,1.3,0.1,https://directory.goodonyou.eco/brand/chloe,France
Claire's,1,claires.com,,2,2,8,1.7,0,0.4,0,0,https://directory.goodonyou.eco/brand/claires,United Kingdom
Clarks,3,"clarks.com, clarkscanada.com, clarksusa.com",,4,4,4,6.7,3.8,2.1,0.8,5.5,https://directory.goodonyou.eco/brand/clarks,United Kingdom
COACH,3,coach.com,Tapestry Inc.,4,4,4,5.8,3.1,1.5,2,0.9,https://directory.goodonyou.eco/brand/coach,United States
Cole Haan,3,colehaan.com,,2,4,6,2.1,1.5,0.6,0.1,0.1,https://directory.goodonyou.eco/brand/cole-haan,United States
Columbia Sportswear,2,"columbia.com, columbiasportswear.ca",,4,4,4,5.5,4.6,2.3,1.6,1.9,https://directory.goodonyou.eco/brand/columbia,United States
Converse,2,"converse.com, converse.ca",Nike Inc.,6,6,4,9.2,6.2,3.2,4.8,6.1,https://directory.goodonyou.eco/brand/converse,United States
Cortefiel,2,cortefiel.com,Tendam,4,4,4,5.8,1.5,2.1,0.6,0.1,https://directory.goodonyou.eco/brand/cortefiel,Spain 
Cotton On,1,cottonon.com,Cotton On Group,4,4,4,3.9,0.8,2.6,0.2,2.2,https://directory.goodonyou.eco/brand/cotton-on,Australia
Decathlon,2,"decathlon.com, decathlon.ca",Association Familiale Mulliez,4,4,6,7,1.5,2.6,2.5,0.1,https://directory.goodonyou.eco/brand/decathlon ,United States
Deichmann,2,deichmann.com,,2,4,4,1.8,0,0,0,0,https://directory.goodonyou.eco/brand/deichmann,Gernmany
Desigual,2,desigual.com,,4,4,6,5.6,0,1.9,1,2.3,https://directory.goodonyou.eco/brand/desigual,Spain
Diesel,2,diesel.com,OTB Group,4,4,6,4.2,0,0.4,0.2,0,https://directory.goodonyou.eco/brand/desigual,Spain
Dillard's,2,dillards.com,,2,2,4,1.9,1.5,1.5,0,0,https://directory.goodonyou.eco/brand/dillards ,United States
Dior,4,dior.com,LVMH,4,4,2,8,7.7,1.9,1.1,0.1,https://directory.goodonyou.eco/brand/dior,France
DKNY,3,dkny.com,G-III Apparel Group,2,2,4,0.8,0,0.4,0,0,https://directory.goodonyou.eco/brand/dkny,United States
Dolce & Gabbana,4,dolcegabbana.com,,2,4,2,1.2,0,0,0,0,https://directory.goodonyou.eco/brand/dolce-and-gabbana,Italy
Dr. Martens,3,drmartens.com,Permira,4,4,6,4.9,3.1,0.9,0.5,1.4,https://directory.goodonyou.eco/brand/dr-martens,United Kingdom
Dressmann,2,dressmann.com,VARNER,4,4,6,8.2,6.2,4.9,2.4,5.5,https://directory.goodonyou.eco/brand/dressmann,Norway
Eddie Bauer,3,eddiebauer.com,Golden Gate Capital,4,2,4,1.6,0,0.2,0.1,0,https://directory.goodonyou.eco/brand/eddie-bauer,United States
El Corte Inglés,3,elcorteingles.com,,4,4,4,7.3,3.1,2.6,2.2,1.6,https://directory.goodonyou.eco/brand/el-corte-ingles ,Spain
Elie Tahari,3,elietahari.com,,2,2,0,0,0,0,0,0,https://directory.goodonyou.eco/brand/elie-tahari,United States
Ermenegildo Zegna,4,zegna.com,,4,4,4,3.3,1.5,1.5,0.5,7.8,https://directory.goodonyou.eco/brand/ermenegildo-zegna,Italy
Esprit,2,"esprit.com, esprit-shop.ca",,6,4,6,8.4,6.2,4.3,3.3,9.2,https://directory.goodonyou.eco/brand/esprit,Germany
Express,2,express.com,,2,2,4,2.3,1.5,1.1,0,0,https://directory.goodonyou.eco/brand/express ,United States
